the_geom,Serial,stopID,stopCode,stopName,Lon,Lat,Shelby County Zip Codes,Memphis 3.0 Focus Anchors Buffers,Memphis 3.0 Planning Districts,City Council Districts
POINT (-89.97228699999994 35.08048100000008),1403,45,KETPENSN,KETCHUM RD@PENDLETON ST,-89.972287,35.080481,13,,5,5
POINT (-89.89750999999995 35.15779800000007),1763,3110,MENMACNM,MENDENHALL@MACON,-89.89751,35.157798,20,,6,4
POINT (-89.93950599999994 35.087965000000054),2525,4189,ROBSTUSM,ROBIN HOOD@STURGEON,-89.939506,35.087965,10,,5,5
POINT (-89.92541199999994 35.14914900000008),2934,4070,SUMNGRWM,SUMMER AVE@NGRAHAM ST,-89.925412,35.149149,20,,6,4
POINT (-89.99770999999998 35.15238800000003),1952,3607,NPAMCLEN,N PARKWAY@MCLEAN,-89.99771,35.152388,11,,8,4
POINT (-89.98838099999995 35.17370800000003),374,1522,CHEBRIEM,CHELSEA@BRITTON,-89.988381,35.173708,8,,7,7
POINT (-90.03722599999998 35.15622100000007),1299,3774,JACTHOWN,JACKSON AVE@THOMAS,-90.037226,35.156221,7,,8,7
POINT (-89.93206799999996 35.18414300000006),1251,3722,JACGRASM,JACKSON AVE@GRAGG AVE,-89.932068,35.184143,24,,6,7
POINT (-89.99633099999994 35.21741700000007),873,1260,FRADENWF,FRAYSER@DENVER,-89.996331,35.217417,23,,1,7
POINT (-89.91569599999997 35.13138800000007),3293,2976,WALCHEWF,WALNUT GROVE RD@CHERRY RD,-89.915696,35.131388,16,,9,4
POINT (-89.86078499999996 35.04980500000005),3556,404,WINHICOB,WINCHESTER@HICKORY HILL MALL,-89.860785,35.049805,14,,10,3
POINT (-89.97657799999996 35.08022500000004),1395,4647,KETCROWN,KETCHUM@CROSBY,-89.976578,35.080225,13,,5,5
POINT (-89.90112499999998 35.06914800000004),557,1843,COTCLEEM,COTTONWOOD@CLEARBROOK,-89.901125,35.069148,17,,11,5
POINT (-89.97531499999997 35.199145000000044),1334,6191,JAMHOLEF,JAMES RD@HOLLYWOOD ST,-89.975315,35.199145,23,,1,1
POINT (-90.05213199999997 35.132619000000034),933,715,GEPHEREN,GEPATTERSON@HERNANDO,-90.052132,35.132619,22,,8,6
POINT (-90.05457699999994 35.13307000000003),3059,631,THIGEPNF,THIRD@GEPATTERSON,-90.054577,35.13307,22,,8,6
POINT (-89.94491199999999 35.06958700000007),1482,5676,LAMDEMWF,LAMAR AVE@DEMOCRAT,-89.944912,35.069587,17,,11,5
POINT (-89.90584799999993 35.063346000000024),2186,6647,PERKNISN,PERKINS@KNIGHT ARNOLD,-89.905848,35.063346,17,,11,5
POINT (-90.00606199999999 35.159399000000064),1273,3900,JACMAUEN,JACKSON@MAURY ST,-90.006062,35.159399,7,,8,7
POINT (-89.98041999999998 35.13347500000003),3213,2995,UNIPATWN,UNION AVE@PATRICIA DR,-89.98042,35.133475,11,,8,4
POINT (-90.06741499999998 35.09341800000004),1384,390,KANFIRNF,KANSAS@FIRST,-90.067415,35.093418,9,,14,6
POINT (-89.95853399999999 35.161437000000035),1289,3922,JACPOPEF,JACKSON@POPE,-89.958534,35.161437,11,,6,4
POINT (-90.02372199999996 35.16861700000004),391,1611,CHEDECWN,CHELSEA@DECATUR,-90.023722,35.168617,7,,7,7
POINT (-89.97573699999998 35.198225000000036),1140,1537,HOLJAMNN,HOLLYWOOD ST@JAMES RD,-89.975737,35.198225,23,,1,1
POINT (-89.95923699999997 35.134243000000026),3306,2989,WALHAYWM,WALNUT GROVE RD@HAYDEN ST,-89.959237,35.134243,10,6,9,4
POINT (-90.05644799999999 35.06312900000006),244,5260,BROGILWN,BROOKS@GILL,-90.056448,35.063129,9,,12,6
POINT (-89.97443099999998 35.108322000000044),2022,2181,PARDAVWN,PARK@DAVID,-89.974431,35.108322,13,,5,5
POINT (-89.94242899999995 35.066385000000025),1509,7166,LAMLYNNN,LAMAR@LYNHURST,-89.942429,35.066385,17,,11,5
POINT (-89.88489699999997 35.104193000000066),2027,2143,PARESTWF,PARK@ESTATE,-89.884897,35.104193,18,,4,4
POINT (-89.97309399999995 35.115631000000064),2683,3436,SOUBOSEF,SOUTHERN AVE@BOSTON ST,-89.973094,35.115631,13,,5,5
POINT (-89.97558999999995 35.173775000000035),1132,3656,HOLHUBSN,HOLLYWOOD@HUBBARD,-89.97559,35.173775,8,,7,7
POINT (-89.85278499999998 35.068256000000076),1857,6573,MTMR13WM,MT MORIAH@RIDGEWAY,-89.852785,35.068256,14,,10,3
POINT (-90.02284299999997 35.06153800000004),237,5295,BROELVEF,BROOKS RD @ ELVIS PRESLEY BLVD,-90.022843,35.061538,15,,12,3
POINT (-90.01512299999996 35.104156000000046),2217,4599,PILGOLSM,PILLOW@GOLD,-90.015123,35.104156,6,,14,5
POINT (-89.89723899999996 35.09115500000007),2405,2828,QUIMTMEN,QUINCE RD@MT MORIAH RD,-89.897239,35.091155,16,,9,4
POINT (-89.97915199999994 35.13846100000006),109,3314,ALIPOPSF,ALICIA DR@POPLAR AVE,-89.979152,35.138461,11,,8,4
POINT (-90.02142899999996 35.12218500000006),208,4261,BELWILSF,BELLEVUE@WILLIAMS AVE,-90.021429,35.122185,6,,14,6
POINT (-90.02138699999995 35.11796700000008),174,4371,BELBEENN,BELLEVUE@BEECHWOOD,-90.021387,35.117967,6,,14,5
POINT (-89.95271099999997 35.05236400000007),3607,1695,WINTUCWF,WINCHESTER RD @ TCHULAHOMA RD,-89.952711,35.052364,17,,11,3
POINT (-89.90661399999999 35.09835400000003),2164,3138,PERDEENM,PERKINS@DEE RD,-89.906614,35.098354,16,,9,4
POINT (-90.08681899999999 35.05658600000004),2551,5867,SAXMITNF,SAX RD@MITCHELL RD,-90.086819,35.056586,9,,13,6
